gene,Fish_kME
isogroup11139,0
isogroup11143,0
isogroup11145,0
isogroup11146,0
isogroup11147,0
isogroup1115,0
isogroup11150,0
isogroup11156,0
isogroup11160,0
isogroup11166,0
isogroup11168,0
isogroup1117,0
isogroup11172,0
isogroup11173,0
isogroup11175,0
isogroup11179,0
isogroup11183,0
isogroup11184,0
isogroup11186,0
isogroup11187,0
isogroup11190,0
isogroup11192,0
isogroup11193,0
isogroup11194,0
isogroup11200,0
isogroup11206,0
isogroup11210,0
isogroup11211,0
isogroup11218,0
isogroup11223,0
isogroup11226,0
isogroup1123,0
isogroup11234,0
isogroup11240,0
isogroup11245,0
isogroup11250,0
isogroup11252,0
isogroup11255,0
isogroup1126,0
isogroup11261,0
isogroup1127,0
isogroup11273,0
isogroup11274,0
isogroup11279,0
isogroup1128,0
isogroup11281,0
isogroup11282,0
isogroup11289,0
isogroup11297,0
isogroup11298,0
isogroup11304,0
isogroup11306,0
isogroup1131,0
isogroup11310,0
isogroup11312,0
isogroup11314,0
isogroup11316,0
isogroup11318,0
isogroup11319,0
isogroup11321,0
isogroup11328,0
isogroup11329,0
isogroup11331,0
isogroup11343,0
isogroup11346,0
isogroup11348,0
isogroup11350,0
isogroup11355,0
isogroup11365,0
isogroup11368,0
isogroup11369,0
isogroup11371,0
isogroup11373,0
isogroup11375,0
isogroup11378,0
isogroup11379,0
isogroup1138,0
isogroup11383,0
isogroup11387,0
isogroup11388,0
isogroup11399,0
isogroup114,0
isogroup11401,0
isogroup11403,0
isogroup11404,0
isogroup11406,0
isogroup11409,0
isogroup1141,0
isogroup11411,0
isogroup11412,0
isogroup11420,0
isogroup11428,0
isogroup1143,0
isogroup11430,0
isogroup11431,0
isogroup11432,0
isogroup11433,0
isogroup11436,0
isogroup11437,0
isogroup11439,0
isogroup1144,0
isogroup11445,0
isogroup11448,0
isogroup11452,0
isogroup11459,0
isogroup11464,0
isogroup11465,0
isogroup11466,0
isogroup11468,0
isogroup11471,0
isogroup11472,0
isogroup11478,0
isogroup1148,0
isogroup11481,0
isogroup11482,0
isogroup11487,0
isogroup11488,0
isogroup11492,0
isogroup11495,0
isogroup11496,0
isogroup11505,0
isogroup11506,0
isogroup11507,0
isogroup11513,0
isogroup11514,0
isogroup11515,0
isogroup11517,0
isogroup11518,0
isogroup1152,0
isogroup11520,0
isogroup11521,0
isogroup11529,0
isogroup11532,0
isogroup11538,0
isogroup11541,0
isogroup11543,0
isogroup11545,0
isogroup11548,0
isogroup1155,0
isogroup11550,0
isogroup11552,0
isogroup11556,0
isogroup11558,0
isogroup11559,0
isogroup11560,0
isogroup11561,0
isogroup11568,0
isogroup11574,0
isogroup11579,0
isogroup11588,0
isogroup11589,0
isogroup11590,0
isogroup11595,0
isogroup11602,0
isogroup11603,0
isogroup11605,0
isogroup11609,0
isogroup11613,0
isogroup11616,0
isogroup11617,0
isogroup11620,0
isogroup11625,0
isogroup11627,0
isogroup11628,0
isogroup11630,0
isogroup11633,0
isogroup11637,0
isogroup11639,0
isogroup1164,0
isogroup11640,0
isogroup11647,0
isogroup11649,0
isogroup11651,0
isogroup11653,0
isogroup11655,0
isogroup11660,0
isogroup11661,0
isogroup11664,0
isogroup11668,0
isogroup11670,0
isogroup11671,0
isogroup11672,0
isogroup11680,0
isogroup11691,0
isogroup11693,0
isogroup11696,0
isogroup11699,0
isogroup11700,0
isogroup11702,0
isogroup11704,0
isogroup11705,0
isogroup11708,0
isogroup11711,0
isogroup11713,0
isogroup11716,0
isogroup11717,0
isogroup11718,0
isogroup11719,0
isogroup11720,0
isogroup11721,0
isogroup11736,0
isogroup11742,0
isogroup11745,0
isogroup11746,0
isogroup1175,0
isogroup11751,0
isogroup11753,0
isogroup11756,0
isogroup11758,0
isogroup11761,0
isogroup11763,0
isogroup11769,0
isogroup11771,0
isogroup11774,0
isogroup11775,0
isogroup11778,0
isogroup11781,0
isogroup1179,0
isogroup11793,0
isogroup11794,0
isogroup11798,0
isogroup11799,0
isogroup11800,0
isogroup11801,0
isogroup11804,0
isogroup11807,0
isogroup11808,0
isogroup11809,0
isogroup11810,0
isogroup11811,0
