"","pc1vis","pc1ac","pc2vis","pc2ac","pc3ac","gPC1b","Size_mm","Aresp","Alateraliz","AReacDist_cm","ALatency_ms","AResp_dist_cm","AResp_spd_mms","AResp_MX_spd","At2mxspd_s","Aresp_dur_s","Amx_accel","At2mxaccel","VResp_dist_cm","VResp_spd_mms","VMeanAngSpd","VMeanMeander","VMeanMobility","RDistanceMoved_cm","RMeanSpeed","RMeanAngularSpd","RMeanMeander","RMeanMobility","Time_from_Last_min"
"30",2.15,NA,0.37,NA,NA,0.0245611692677087,12.466,1,1,9.42,879.2,NA,NA,NA,NA,NA,NA,NA,5.89,11.78,-681.74,-312.6,82.81,14.72,0.44,-11.59,-403.22,12.87,80
"34",0.7,NA,1.14,NA,NA,-0.0129872695998919,12.735,1,0,4.11,912.5,NA,NA,NA,NA,NA,NA,NA,2.77,6.38,284.38,32.24,79.74,27.15,0.85,31.73,-163.27,21.64,64
"36",-0.7,NA,-0.96,NA,NA,0.0885460471013298,12.363,1,1,10.15,879.2,NA,NA,NA,NA,NA,NA,NA,7.87,1.83,-40.74,94.49,21.12,15.14,0.48,-35.53,-129.81,12.97,54
"37",-0.28,NA,0.03,NA,NA,0.0766262938758246,12.602,1,0,4.43,866.7,NA,NA,NA,NA,NA,NA,NA,2.11,1.75,235.09,-1209.16,34.39,46.12,1.4,12.02,339.46,26.99,47
"39",-1.46,NA,1.2,NA,NA,0.0659724207265055,12.602,1,0,0.46,945.8,NA,NA,NA,NA,NA,NA,NA,4.81,1.57,165.55,2619,33.57,21.89,0.69,-16.11,-121.68,19,39
"40",0.46,NA,-0.97,NA,NA,0.076826028021851,11.911,1,1,1.61,904.2,NA,NA,NA,NA,NA,NA,NA,10.31,6.57,79.03,128.95,55.66,13.17,0.4,65.99,13093.2,10.65,35
"49",NA,-0.32,NA,-0.9,0.88,0.0648241516279433,11.541,1,0,NA,16.7,1.83,18.74,53.94,0.021,0.096,6472.1,0.029,NA,NA,NA,NA,NA,20.51,0.63,-34.27,-78.93,12.16,77
"51",NA,-0.22,NA,-0.09,0.08,-0.0451135591181685,12.698,1,0,NA,12.5,1.39,21.87,72.33,0.021,0.058,12247.2,0.021,NA,NA,NA,NA,NA,3.84,0.12,98.88,-424.53,3.39,67
"52",NA,0.3,NA,0.34,1.33,-0.0120526664994706,11.856,1,0,NA,8.3,3.19,27.21,74.52,0.004,0.113,6868.6,0.017,NA,NA,NA,NA,NA,31.79,1.09,-50.95,-644.79,17.02,64
"53",NA,0.07,NA,-1.21,-0.25,-0.0403111626723244,12.817,1,0,NA,8.3,2.15,19.8,53.19,0.025,0.096,6254.6,0.058,NA,NA,NA,NA,NA,28.03,0.8,17.46,-115.48,24.52,59
"54",NA,-0.58,NA,-0.31,-1.18,-0.0252005057692123,13.158,1,1,NA,8.3,1.37,14.7,36.53,0.004,0.083,4446.2,0.042,NA,NA,NA,NA,NA,48.06,1.55,-15.85,224.68,31.26,49
"56",NA,-0.32,NA,0.05,-1.01,0.00507407889193167,11.957,1,1,NA,8.3,1.34,13.72,63.36,0.017,0.083,8892.5,0.017,NA,NA,NA,NA,NA,19.74,0.66,54.1,-621.87,19.91,43
"57",NA,0.09,NA,-0.03,1.96,0.126129617214495,11.358,1,1,NA,25,2.81,20.23,70.27,0.008,0.129,8925.8,0.008,NA,NA,NA,NA,NA,22.71,0.76,56.4,488.24,24.49,39
"58",NA,-0.45,NA,-0.34,0.32,0.103752335824323,11.02,1,0,NA,16.7,1.32,23.88,62.22,0.013,0.054,7842.5,0.038,NA,NA,NA,NA,NA,32.25,0.97,-29,-450.11,25.37,37
"5",0.99,NA,0.37,NA,NA,-0.0105335416339753,12.231,1,0,0.36,929.2,NA,NA,NA,NA,NA,NA,NA,5.79,7.23,61.64,23.68,80.51,15.99,0.48,-13.75,-525.21,9.93,338
"61",NA,-1.93,NA,-0.88,0.67,0.131802771474974,11.167,1,0,NA,25,0.26,6.09,21.92,0.004,0.029,3507.4,0.013,NA,NA,NA,NA,NA,18.18,0.55,-16.68,53.97,12.16,30
"62",NA,-0.02,NA,-0.12,0.26,0.0526580664777087,12.707,1,0,NA,8.3,1.87,19.99,104.49,0.004,0.088,5112.7,0.033,NA,NA,NA,NA,NA,5.46,0.16,-3.58,11325.4,6.67,27
"63",NA,-0.65,NA,-0.82,0.78,0.0521020598214148,11.689,1,0,NA,20.8,1.07,15.95,51.67,0.021,0.071,11160,0.021,NA,NA,NA,NA,NA,36.26,1.21,10.13,-143.05,20.44,24
"66",NA,0.19,NA,1.58,-0.89,0.0915332397410082,11.821,1,1,NA,8.3,1.44,31.11,77.66,0.008,0.05,18637.4,0.008,NA,NA,NA,NA,NA,8.73,0.26,46.57,3472.37,11.22,15
"67",NA,-0.34,NA,0.41,-1.11,0.0909304605483754,11.332,1,1,NA,8.3,1.29,18.77,77.47,0.004,0.067,5212.3,0.029,NA,NA,NA,NA,NA,40.01,1.21,46.01,123.97,26.76,11
"68",NA,-0.07,NA,1.06,-0.37,0.0675586320344193,11.93,1,1,NA,8.3,2.16,26.64,57.92,0.008,0.075,8405.3,0.008,NA,NA,NA,NA,NA,39.22,1.48,-8.22,147.59,34.75,8
"69",NA,-0.62,NA,0.96,-0.52,0.145246217279049,11.288,1,0,NA,8.3,0.79,33.55,52.7,0.004,0.025,8167.7,0.021,NA,NA,NA,NA,NA,20.82,0.63,-91.07,-722.24,14.68,2
"6",0.33,NA,-0.38,NA,NA,-4.60256741003423e-05,12.064,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,5.46,-141.03,-14.52,48.44,11.03,0.33,18.43,1306.71,7.09,333
"70",NA,-0.5,NA,1.13,-1.04,0.116589385799085,11.529,1,1,NA,8.3,1.18,24.78,71.3,0.008,0.046,4052.2,0.008,NA,NA,NA,NA,NA,19.32,0.7,76.16,1822.97,14.25,0
"71",NA,0.27,NA,0.55,-0.75,-0.24354577970788,12.069,1,1,NA,8.3,1.97,23.84,91.96,0.021,0.079,8403.8,0.021,NA,NA,NA,NA,NA,22.54,0.76,2.97,253.99,16.64,177
"72",NA,0.91,NA,-0.58,1.21,-0.280263649274379,13.145,1,0,NA,12.5,3.68,29.9,74.06,0.042,0.113,9638.6,0.033,NA,NA,NA,NA,NA,5.4,0.18,65.74,5483.83,6.04,174
"76",NA,-0.1,NA,0.37,-0.87,-0.241977012752708,12.394,1,1,NA,12.5,1.59,25.91,57.16,0.008,0.058,10469.3,0.042,NA,NA,NA,NA,NA,5.49,0.18,19.95,-2041.64,5.12,158
"8",0.69,NA,1.01,NA,NA,0.00317583387154894,12.411,1,1,5.05,900,NA,NA,NA,NA,NA,NA,NA,3.08,6.16,187.05,45.72,77.42,25.28,1.01,43.68,668.62,25.93,313
"92",NA,0.39,NA,-0.53,-0.97,-0.206440732435497,11.817,1,1,NA,8.3,2.34,22.34,56.74,0.008,0.104,9242.4,0.071,NA,NA,NA,NA,NA,29.22,0.96,73.16,368.34,17.87,96
"93",NA,-0.46,NA,-0.96,0.58,-0.162770169172266,10.342,1,0,NA,8.3,1.39,9.54,62.47,0.013,0.138,4830.2,0.013,NA,NA,NA,NA,NA,37.3,1,21.31,-42.97,24.52,92
